FECHA_CORTE;ANIO;ID_MES;MES;DEPARTAMENTO;SITIO_TURISTICO;TIPO_VISITANTE;NUMERO_VISITANTES
20260429;2019;1;ENERO;CUSCO;COMPLEJO ARQUEOLÓGICO DE MORAY;EXTRANJERO;21249
20260429;2019;1;ENERO;CUSCO;COMPLEJO ARQUEOLÓGICO DE MORAY;TOTAL;40193
20260429;2019;1;ENERO;CUSCO;COMPLEJO ARQUEOLÓGICO DE TARAWASI;NACIONAL;0
20260429;2019;1;ENERO;CUSCO;COMPLEJO ARQUEOLÓGICO DE TARAWASI;EXTRANJERO;52
20260429;2019;1;ENERO;CUSCO;COMPLEJO ARQUEOLÓGICO DE TARAWASI;TOTAL;52
20260429;2019;1;ENERO;CUSCO;COMPLEJO ARQUEOLÓGICO DE TIPÓN;NACIONAL;7763
20260429;2019;1;ENERO;CUSCO;COMPLEJO ARQUEOLÓGICO DE TIPÓN;EXTRANJERO;2133
20260429;2019;1;ENERO;CUSCO;COMPLEJO ARQUEOLÓGICO DE TIPÓN;TOTAL;9896
20260429;2019;1;ENERO;CUSCO;EXPLANADA DE SAQSAYHUAMAN;NACIONAL;24130
20260429;2019;1;ENERO;CUSCO;EXPLANADA DE SAQSAYHUAMAN;EXTRANJERO;27794
20260429;2019;1;ENERO;CUSCO;EXPLANADA DE SAQSAYHUAMAN;TOTAL;51924
20260429;2019;1;ENERO;CUSCO;LLAULLIPATA;NACIONAL;4385
20260429;2019;1;ENERO;CUSCO;LLAULLIPATA;EXTRANJERO;11148
20260429;2019;1;ENERO;CUSCO;LLAULLIPATA;TOTAL;15533
20260429;2019;1;ENERO;CUSCO;MUSEO DE SITIO CHINCHERO;NACIONAL;0
20260429;2019;1;ENERO;CUSCO;MUSEO DE SITIO CHINCHERO;EXTRANJERO;0
20260429;2019;1;ENERO;CUSCO;MUSEO DE SITIO CHINCHERO;TOTAL;0
20260429;2019;1;ENERO;CUSCO;MUSEO DE SITIO MANUEL CHÁVEZ BALLÓN;NACIONAL;309
20260429;2019;1;ENERO;CUSCO;MUSEO DE SITIO MANUEL CHÁVEZ BALLÓN;EXTRANJERO;510
20260429;2019;1;ENERO;CUSCO;MUSEO DE SITIO MANUEL CHÁVEZ BALLÓN;TOTAL;819
20260429;2019;1;ENERO;CUSCO;MUSEO HISTÓRICO REGIONAL - CUSCO;NACIONAL;6716
20260429;2019;1;ENERO;CUSCO;MUSEO HISTÓRICO REGIONAL - CUSCO;EXTRANJERO;4824
20260429;2019;1;ENERO;CUSCO;MUSEO HISTÓRICO REGIONAL - CUSCO;TOTAL;11540
20260429;2019;1;ENERO;CUSCO;PARQUE ARQUEOLÓGICO DE CHOQUEQUIRAO;NACIONAL;120
20260429;2019;1;ENERO;CUSCO;PARQUE ARQUEOLÓGICO DE CHOQUEQUIRAO;EXTRANJERO;274
